name,pl_orbper,pl_disc,new_rade,fpl_smax,new_insol
11 Com b,326.03,2007,8.856211247783442,1.29,105.15273653173826
11 UMi b,516.21997,2009,10.108372007291745,1.53,114.97863231778021
14 And b,185.84,2008,17.40656123278253,0.83,84.10926062227914
14 Her b,1773.40002,2002,16.409853636462678,2.93,0.08227440672144834
16 Cyg B b,798.5,1996,13.05087325914518,1.66,0.4568607242684597
18 Del b,993.3,2008,10.378825873463883,2.6,5.916342452087242
1RXS J160929.1-210524 b,NA,2008,18.647,330,3.91716729845356e-6
24 Boo b,30.3506,2018,14.45181365336378,0.19,1646.2386665251324
24 Sex b,452.8,2010,12.825044395081537,1.333,8.209934668262049
24 Sex c,883,2010,13.945291156664464,2.08,3.3718894699411703
2MASS J01225093-2439505 b,NA,2013,11.209,52,7.046822181816744e-6
2MASS J02192210-3925225 b,NA,2015,16.141,156,2.419640266911526e-7
2MASS J04414489+2301513 b,NA,2010,12.6,15,NA
2MASS J12073346-3932539 b,NA,2004,13,46,NA
2MASS J19383260+4603591 b,416,2015,13.4,0.92,1.739499648431851
2MASS J21402931+1625183 A b,7336.5,2009,10.31,NA,NA
2MASS J22362452+4751425 b,NA,2016,12.3,230,1.801126964127887e-6
30 Ari B b,335.10001,2009,12.3392075575507,0.99,2.4531811039760574
4 UMa b,269.3,2006,13.651023132740288,0.87,152.3917634854131
42 Dra b,479.1,2008,12.562692856346343,1.19,100.90346433946064
47 UMa b,1078,1996,13.769977308539527,2.1,0.372873406624701
47 UMa c,2391,2001,18.86743746588407,3.6,0.126880534198683
47 UMa d,14002,2009,15.90790847057848,11.6,0.012220360606531894
51 Eri b,11688,2015,13.4,12,0.049162901693342906
51 Peg b,4.230785,1995,16.550813531921268,0.0527,505.10162948844317
55 Cnc b,14.65152,1996,11.582842676850053,0.115227,43.84211431698097
55 Cnc c,44.4175,2004,6.405090330929195,0.241376,9.991066000937355
55 Cnc d,4825,2002,13.01708354408599,5.503,0.019222106289730704
55 Cnc e,0.736539,2004,1.91,0.01544,2441.7736792047754
55 Cnc f,262,2007,7.823382271325221,0.788,0.9374488162714698
6 Lyn b,934.3,2008,12.827064324438872,2.11,3.216881694646444
61 Vir b,4.215,2009,1.806688288180184,0.050201,318.84180812575977
61 Vir c,38.021,2009,4.6566965672661835,0.2175,16.985622876165774
61 Vir d,123.01,2009,4.364388721859086,0.476,3.5463867408093415
7 CMa b,796,2011,17.97718013789676,1.93,3.033090592157636
70 Vir b,116.688,1996,12.710132633051114,0.481,13.265079198270916
75 Cet b,691.9,2012,13.386724449347483,2.1,12.177591754427498
8 UMi b,93.4,2015,14.457643378258132,0.49,221.10972271178198
81 Cet b,952.7,2008,14.244469383188667,2.5,9.596657220088153
91 Aqr b,181.4,2013,13.940465571888193,0.7,100.41623177172467
AB Pic b,NA,2005,12.3,260,8.791304121532141e-6
alf Ari b,380.8,2010,16.522411807403508,1.2,59.65371677120804
alf Tau b,628.96,2015,11.355185364928026,1.46,220.44197251136026
BD-06 1339 b,3.8728,2013,3.430712137533617,0.0428,51.89344012884758
BD-06 1339 c,125.94,2013,7.7664073092589545,0.435,0.5023674428095026
BD-08 2823 b,5.6,2009,3.0215232822555125,0.06,65.71999159682663
BD-08 2823 c,237.6,2009,11.999224620953324,0.68,0.511660834231349
BD-10 3166 b,3.48777,2000,10.858023612707747,0.04,402.6057909469858
BD-11 4672 b,1667,2014,13.507981906830885,2.28,0.02530057002524312
BD-13 2130 b,714.29999,2007,13.704459639653345,1.66,40.0667230331715
BD-17 63 b,655.59998,2008,12.172702956630307,1.34,0.12439141361274958
BD+03 2562 b,481.9,2017,15.131054567732518,1.3,296.56049327057536
BD+14 4559 b,268.94,2009,18.201857767973927,0.78,0.6191712672319343
BD+15 2375 b,153.22,2016,13.0681482210911,0.576,111.98375684111346
BD+15 2940 b,137.48,2013,12.334145593346681,0.539,352.22685874024717
BD+20 2457 b,379.63,2009,10.07069978367915,1.05,531.6445936635179
BD+20 2457 c,621.99,2009,12.74898867803394,2.01,145.08011299572502
BD+20 274 b,578.2,2012,13.496766411498099,1.3,53.9651384234266
BD+20 594 b,41.6855,2016,2.578,0.241,19.318166944473468
BD+48 738 b,392.6,2011,13.47871575966543,1,48.97788193684461
BD+48 740 b,733,2018,15.241930414217444,1.7,15.104354056753145
BD+49 828 b,2590,2015,15.069451527948464,4.2,1.6730211035523728
bet Cnc b,605.2,2014,16.39528158666861,1.7,274.85406045822884
bet Pic b,7665,2008,18.495,9.1,0.10962692068327323
bet UMi b,522.3,2014,15.178526056131263,1.4,273.9958144746187
CFBDSIR J145829+101343 b,10037.5,2011,12.4,2.6,NA
