name,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_kepflag,pl_k2flag,ra_str,dec_str,ra,dec,st_dist,st_optmag,st_optband,gaia_gmag,st_teff,st_tefferr1,st_tefferr2,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2,pl_cbflag,pl_eqt,pl_insol,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_msinie,pl_rade,pl_radeerr1,pl_radeerr2,pl_trandep,pl_trandur,pl_imppar,pl_disc,pl_status,gaia_dist,st_spstr,st_logg,st_metfe,st_age,pl_locale,pl_facility,pl_telescope,pl_instrument,rowupdate,pl_masse,pl_Rforecast2,new_rade,fpl_rade
11 Com b,11 Com,b,Radial Velocity,1,326.03,1.29,0.05,-0.05,0.231,0,0,12h20m43.03s,+17d47m34.3s,185.179276,17.792868,93.37,4.74,V (Johnson),4.372,4742,100,-100,2.7,0.3,-0.3,19,2,-2,0,NA,NA,6165.6,476.7,-476.7,6165.6,NA,NA,NA,NA,NA,NA,2007,3,93.37,K0 III,2.31,-0.35,NA,Ground,Xinglong Station,2.16 m Telescope,Coude Echelle Spectrograph,2014-05-14,6165.6,14.481253152755059,14.481253152755059,12.1
11 UMi b,11 UMi,b,Radial Velocity,1,516.21997,1.53,0.07,-0.07,0.08,0,0,15h17m05.89s,+71d49m26.0s,229.274536,71.823898,125.72,5.016,V (Johnson),4.5,4213,46,-46,2.78,0.69,-0.69,29.79,2.84,-2.84,0,NA,NA,4684.8142,794.575,-794.575,4684.8142,NA,NA,NA,NA,NA,NA,2009,3,125.72,K4 III,1.93,-0.02,NA,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,2018-09-06,4684.8142,14.599755871486657,14.599755871486657,12.3
14 And b,14 And,b,Radial Velocity,1,185.84,0.83,NA,NA,0,0,0,23h31m17.42s,+39d14m10.3s,352.822571,39.236198,75.59,5.227,V (Johnson),4.872,4813,20,-20,2.2,0.1,-0.2,11,1,-1,0,NA,NA,1525.5,NA,NA,1525.5,NA,NA,NA,NA,NA,NA,2008,3,75.59,G8 III,2.63,-0.24,NA,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,2014-05-14,1525.5,15.81220436895868,15.81220436895868,12.9
14 Her b,14 Her,b,Radial Velocity,1,1773.40002,2.93,0.08,-0.08,0.37,0,0,16h10m24.31s,+43d49m03.5s,242.601303,43.817646,17.94,6.61,V (Johnson),6.379,5338,25,-25,0.9,0.04,-0.04,0.93,0.01,-0.01,0,NA,NA,1481.0878,47.6745,-47.6745,1481.0878,NA,NA,NA,NA,NA,NA,2002,3,17.94,K0 V,4.45,0.41,NA,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,2018-09-06,1481.0878,16.371095779058493,16.371095779058493,12.9
16 Cyg B b,16 Cyg B,b,Radial Velocity,1,798.5,1.66,0.03,-0.03,0.68,0,0,19h41m51.97s,+50d31m03.1s,295.466553,50.517525,21.15,6.25,V (Johnson),6.057,5750,8,-8,1.08,0.04,-0.04,1.13,0.01,-0.01,0,NA,NA,565.7374,25.4264,-25.4264,565.7374,NA,NA,NA,NA,NA,NA,1996,3,21.15,G2.5 V,4.36,0.06,NA,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,2018-09-06,565.7374,14.202629076418113,14.202629076418113,13.5
18 Del b,18 Del,b,Radial Velocity,1,993.3,2.6,NA,NA,0.08,0,0,20h58m25.94s,+10d50m21.4s,314.608063,10.839286,76.38,5.506,V (Johnson),5.244,4979,18,-18,2.3,NA,NA,8.5,NA,NA,0,NA,NA,3273.5,NA,NA,3273.5,NA,NA,NA,NA,NA,NA,2008,3,76.38,G6 III,2.82,-0.052,NA,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,2014-05-14,3273.5,16.06408947543688,16.06408947543688,12.5
1RXS J160929.1-210524 b,1RXS J160929.1-210524,b,Imaging,1,NA,330,NA,NA,NA,0,0,16h09m30.30s,-21d04m58.9s,242.376268,-21.083036,145,NA,NA,12.057,4060,300,-200,0.85,0.2,-0.1,NA,NA,NA,0,1700,NA,3000,300,-300,NA,NA,NA,NA,NA,NA,NA,2008,3,139.67,K7 V,NA,NA,0.005,Ground,Gemini Observatory,8.19 m Gemini North Telescope,NIRI Camera,2015-04-01,3000,NA,18.647,18.647
24 Boo b,24 Boo,b,Radial Velocity,1,30.3506,0.19,0.012,-0.009,0.042,0,0,14h28m37.81s,+49d50m41.5s,217.157547,49.844852,96.25,5.58,V (Johnson),5.305,4893,15,-15,0.99,0.19,-0.13,10.64,0.84,-0.59,0,NA,NA,289.2253,41.3179,-31.783,289.2253,NA,NA,NA,NA,NA,NA,2018,3,96.25,G3 IV,2.42,-0.77,6.92,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,2018-04-26,289.2253,14.003418632942669,14.003418632942669,13.9
24 Sex b,24 Sex,b,Radial Velocity,2,452.8,1.333,0.004,-0.009,0.09,0,0,10h23m28.37s,-00d54m08.1s,155.86821,-0.902244,72.21,6.441,V (Johnson),6.198,5098,44,-44,1.54,0.08,-0.08,4.9,0.08,-0.08,0,NA,NA,632.46,82.63,-120.77,632.46,NA,NA,NA,NA,NA,NA,2010,3,72.21,K0 IV,3.5,-0.03,2.7,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,2014-05-14,632.46,12.730648178261424,12.730648178261424,13.4
24 Sex c,24 Sex,c,Radial Velocity,2,883,2.08,0.05,-0.02,0.29,0,0,10h23m28.37s,-00d54m08.1s,155.86821,-0.902244,72.21,6.441,V (Johnson),6.198,5098,44,-44,1.54,0.08,-0.08,4.9,0.08,-0.08,0,NA,NA,273.32,111.24,-69.92,273.32,NA,NA,NA,NA,NA,NA,2010,3,72.21,K0 IV,3.5,-0.03,2.7,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,2014-05-14,273.32,12.80164265653707,12.80164265653707,13.9
